eighteen,attempt_to_see_the_birds,successful,date_first_seen,number_of_trips,home_post_code,mode_of_transportation,car_pool,car_pool_size,sole_reason,overnight?,number_of_nights,accomodation,accomodation_post_codes,eating_type,dining_type,how_many_dine_outs,first_time_seeing_terns,petrol_cost,dining_cost,accomodation_cost,airfare_cost,organizational_affiliation,often_chase_rare_birds,additional_birding,additional_ecotourism,age,sex,marital_status,hourly_wage,5$_donation,25$_donation,50$_donation,75$_donation,100$_donation,time_at_site,education,employment_status,find_out_about_terns,years_birding,birding_experience,submit_to_eBird,submit_to_Birddata,how_many_birders_did_you_see,Indicate_Facebook
Yes,Yes,Yes,16/12/2017,Once,2320,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,1,Yes,40,20,,,"BirdLife Australia, Local birding club",3-7 times,No,No,65,Female,Married,,No,No,No,No,No,2,Postgraduate,Retired,"Australian Twitchers Facebook page, email",20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,15,No
Yes,Yes,Yes,13/12/2017,Twice,2287,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Fast food,1,Yes,,7,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,70,Male,Single,,Yes,Yes,No,No,No,5,High School,Retired,email,47,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,No
Yes,Yes,Yes,17/01/2018,Once,2614,Private Vehicle,No,,Yes,Yes,3,Friends/relatives home,2250,Both: made own meals and ate out.,Sit down,2,Yes,120,50,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,61,Female,Widowed,45,Yes,Yes,Yes,No,No,4,Postgraduate,Retired,Other,45,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,3,No
Yes,Yes,Yes,12/12/2017,Once,2320,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,50,2,0,,Local birding club,7-10 times,Yes,No,67,Male,Married,1,Yes,Yes,Yes,No,No,3,Postgraduate,Retired,Other,55,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,15,No
Yes,Yes,Yes,21/12/2017,Once,2605,Private Vehicle,No,,Yes,No,,,,Made own meals,,,No,100,0,0,300,eBird,>10 times a year,No,No,54,Male,Married,,Yes,Yes,No,No,No,2,Postgraduate,Employed - full time,"Australian Twitchers Facebook page, Birding Aus Listservs",20,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,2,Yes
Yes,Yes,Yes,12/12/2017,Once,2307,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,Yes,,,,,"BirdLife Australia, Local birding club, Professional ornithological Society",3-7 times,Yes,No,45,Male,Married,40,Yes,Yes,Yes,Yes,Yes,1,Other,Employed - full time,Text/phone call,25,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,15,No
Yes,Yes,Yes,9/01/2018,Once,2326,Private Vehicle,Yes,3,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,,10,,,Local birding club,1-3 times,Yes,Yes,61,Female,Married,1,Yes,No,No,No,No,3,Postgraduate,Retired,email,3,Amateur birder (can identify <100 Australian birds without using a field guide),No,No,3,No
Yes,Yes,Yes,9/01/2018,Once,2282,Private Vehicle,Yes,3,No,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,,,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,68,Male,Single,,Yes,No,No,No,No,4,High School,Retired,email,15,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,2,No
Yes,Yes,Yes,13/12/2017,Once,2289,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Sit down,1,Yes,30,20,0,0,Local birding club,1-3 times,Yes,No,62,Male,Married,1,Yes,Yes,No,No,No,3,Postgraduate,Retired,email,3,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,20,No
Yes,Yes,Yes,13/01/2018,Once,2303,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,Yes,30,,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,46,Male,Married,80,Yes,Yes,Yes,Yes,Yes,2.5,University,Self-employed,email,25,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,No
Yes,Yes,Yes,17/12/2017,Once,2325,Private Vehicle,Yes,3,No,Yes,3,Holiday flat/unit,2441,Made own meals,,,Yes,,,,,"BirdLife Australia, Local birding club",3-7 times,Yes,No,19,Male,Single,25,Yes,Yes,Yes,Yes,Yes,2.5,University,Student,"Text/phone call, email, Birding Aus Listservs",11,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,No
Yes,Yes,Yes,10/01/2018,Once,2234,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,50,,,,"BirdLife Australia, Local birding club, eBird",1-3 times,Yes,No,75,Male,Married,1,Yes,No,No,No,No,2,Postgraduate,Retired,Other,22,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,3,No
Yes,Yes,Yes,8/01/2018,Once,2324,Private Vehicle,Yes,4,Yes,No,,,,Made own meals,,,Yes,,0,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,65,Male,Widowed ,41,No,No,No,No,No,4,High School,Retired,"Other Facebook page, Text/phone call, email",50,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,No
Yes,Yes,Yes,13/01/2018,Once,3072,"Private Vehicle, Rental Vehicle, Plane",No,,Yes,Yes,2,Hotel/Motel,2318; 2430,Ate out,Fast food,5,Yes,70,120,200,500,BirdLife Australia,7-10 times,Yes,No,50,Male,Married,45,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Employed - full time,Australian Twitchers Facebook page,40,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,10,Yes
Yes,Yes,Yes,16/12/2017,Once,2090,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,1,Yes,40,15,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,65,Male,Single,,Yes,Yes,Yes,No,No,4,University,Retired,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,No
Yes,Yes,Yes,15/12/2017,Once,2035,Private Vehicle,Yes,2,Yes,No,,,,Ate out,Fast food,1,Yes,60,10,0,,SOSSA,1-3 times,No,No,51,Male,Single,50,Yes,Yes,Yes,Yes,No,3,High School,Self-employed,Australian Twitchers Facebook page,38,Expert birder (can identify >300 Australian bird species without a field guide),No,No,12,No
Yes,Yes,Yes,13/12/2017,Twice,2324,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Fast food,2,Yes,70,70,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,65,Female,Divorced,20,Yes,Yes,No,No,No,6,Other,Retired,Birding Aus Listservs,25,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,No
Yes,Yes,Yes,17/12/2017,Once,2285,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,50,10,0,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,68,Male,Married,1,Yes,Yes,No,No,No,2,University,Retired,email,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,10,No
Yes,Yes,Yes,19/12/2017,Once,2258,Private Vehicle,Yes,4,Yes,No,,,,Ate out,Fast food,2,Yes,50,50,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,67,Male,Married,30,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Retired,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,Yes,20,Yes
Yes,Yes,Yes,3/01/2018,Once,2614,Private Vehicle,Yes,3,Yes,Yes,1,Hotel/Motel,2423,Both: made own meals and ate out.,Sit down,1,Yes,50,28,45,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,65,Female,Single,,Yes,Yes,No,No,No,1.5,Postgraduate,Retired,Australian Twitchers Facebook page,54,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,9,No
Yes,Yes,Yes,27/12/2017,Once,2763,Private Vehicle,No,,No,Yes,1,Friends/relatives home,2444,Both: made own meals and ate out.,Fast food,1,Yes,140,20,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,34,Male,Single,,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,Text/phone call,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,,No
Yes,Yes,Yes,23/12/2017,Once,4152,Private Vehicle,Yes,4,Yes,No,,,,Both: made own meals and ate out.,Sit down,1,Yes,50,,,,BirdLife Australia,3-7 times,Yes,No,49,Male,Married,28,Yes,Yes,Yes,Yes,Yes,3,High School,Employed - full time,"Australian Twitchers Facebook page, Text/phone call",40,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,10,No
Yes,Yes,Yes,20/12/2017,Once,2037,Private Vehicle,No,,No,Yes,3,Hotel/Motel,2324,Both: made own meals and ate out.,Sit down,3,Yes,80,120,1000,0,BirdLife Australia,1-3 times,Yes,Yes,38,Male,Married,1,Yes,Yes,Yes,No,No,3,Postgraduate,Unemployed,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,No
Yes,Yes,Yes,1/01/2018,Once,2350,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,Fast food,2,Yes,80,30,0,0,"BirdLife Australia, Local birding club",1-3 times,Yes,No,46,Male,Married,55,Yes,Yes,Yes,Yes,Yes,2.5,Postgraduate,Employed - full time,email,36,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,Yes,10,No
Yes,Yes,Yes,19/12/2017,Once,2040,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,75,,,,BirdLife Australia,1-3 times,Yes,No,67,Male,Married,,Yes,Yes,Yes,Yes,Yes,1.5,University,Retired,"email, Birding Aus Listservs",42,Expert birder (can identify >300 Australian bird species without a field guide),No,No,15,No
Yes,Yes,Yes,17/12/2017,Once,2428,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,15,0,0,0,"BirdLife Australia, Local birding club",Never,No,No,46,Male,Married,,Yes,Yes,No,No,No,1,University,Employed - full time,email,20,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,No
Yes,Yes,Yes,30/12/2017,Once,2606,Private Vehicle,Yes,2,No,Yes,4,Camping ,2423,Both: made own meals and ate out.,Fast food,1,Yes,150,100,50,0,BirdLife Australia,1-3 times,Yes,No,24,Female,Single,25.3,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page, Other",7,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,9,Yes
Yes,Yes,Yes,16/12/2017,Once,4216,Private Vehicle,Yes,4,Yes,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,"Fast food, Sit down",5,Yes,300,200,240,,BirdLife Australia,3-7 times,Yes,Yes,,Female,Widowed,,Yes,Yes,Yes,Yes,Yes,1,Postgraduate,Retired,Australian Twitchers Facebook page,40,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,7/01/2018,Once,5343,"Rental Vehicle, Plane",No,,Yes,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,Fast food,1,Yes,100,50,100,400,"BirdLife Australia, Local birding club",1-3 times,Yes,No,47,Male,Married,30,Yes,Yes,Yes,Yes,No,1,University,Self-employed,Australian Twitchers Facebook page,40,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,21/12/2017,Twice,4561,Plane,No,,Yes,Yes,1,Holiday flat/unit,2430,Ate out,Sit down,1,Yes,,80,120,320,BirdLife Australia,1-3 times,Yes,No,62,Male,Single,20,Yes,Yes,No,No,No,3,,Retired,Australian Twitchers Facebook page,50,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,10,Yes
Yes,Yes,Yes,12/12/2017,Once,3212,Private Vehicle,No,,Yes,Yes,1,Holiday flat/unit,2430,Made own meals,,,Yes,300,50,128,,BirdLife Australia,7-10 times,No,No,64,Male,Married,,Yes,Yes,Yes,Yes,Yes,3,University,Retired,Australian Twitchers Facebook page,10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,,Yes
Yes,Yes,Yes,16/12/2017,Once,2233,Private Vehicle,No,,Yes,No,,,,Ate out,Fast food,1,Yes,50,30,0,0,I don't belong to any type of bird-related organization,1-3 times,Yes,No,32,Male,Single,45,No,No,No,No,No,4,Postgraduate,Employed - full time,Australian Twitchers Facebook page,5,Expert birder (can identify >300 Australian bird species without a field guide),No,No,20,Yes
Yes,Yes,Yes,13/12/2017,Once,2102,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Sit down,1,Yes,100,20,,,"BirdLife Australia, Local birding club, Australian Herpetological Society",1-3 times,Yes,No,19,Male,Single,,Yes,Yes,Yes,Yes,Yes,3,High School,Employed - part time,Australian Twitchers Facebook page,5,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,15,Yes
Yes,Yes,Yes,28/12/2017,Once,2011,Private Vehicle,No,,Yes,Yes,2,Hotel/Motel,2430,Ate out,Sit down,2,Yes,75,150,250,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,64,Female,,,Yes,Yes,No,No,No,2,University,Employed - part time,Australian Twitchers Facebook page,20,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),Yes,No,5,No
Yes,Yes,Yes,16/12/2017,Once,2615,Private Vehicle,No,,Yes,Yes,1,Camping,2430,Made own meals,,,Yes,150,20,20,,"BirdLife Australia, Local birding club, Professional ornithological Society",1-3 times,Yes,No,19,Male,Single,20,Yes,No,No,No,No,5,University,Student,Australian Twitchers Facebook page,10,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,12/12/2017,Twice,2287,Private Vehicle,No,,Yes,No,,,,Made own meals,,,Yes,70,10,0,,Local birding club,1-3 times,Yes,No,33,Male,Single,22,Yes,Yes,Yes,Yes,Yes,9,University,Employed - full time,Australian Twitchers Facebook page,22,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,20,No
Yes,Yes,Yes,23/12/2017,Once,4018,Private Vehicle,Yes,4,Yes,No,,,,Ate out,"Fast food, Sit down",2,Yes,150,40,0,0,BirdLife Australia,1-3 times,Yes,No,41,Male,Married,55,Yes,Yes,Yes,Yes,Yes,2,Postgraduate,Employed - full time,Australian Twitchers Facebook page,20,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,6,No
Yes,Yes,Yes,8/01/2018,Once,4502,Private Vehicle,Yes,2,No,Yes,2,Hotel/Motel,2430; 4275,Ate out,"Fast food, Sit down",7,Yes,100,60,120,,Professional ornithological Society,1-3 times,Yes,No,58,Male,Single,,Yes,No,No,No,No,2,Postgraduate,Self-employed,Australian Twitchers Facebook page,43,Expert birder (can identify >300 Australian bird species without a field guide),No,No,4,Yes
Yes,Yes,Yes,8/12/2017,Once,2023,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,60,15,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,55,Male,Single,120,Yes,Yes,Yes,No,No,5,University,Employed - full time,Australian Twitchers Facebook page,40,Expert birder (can identify >300 Australian bird species without a field guide),No,No,35,Yes
Yes,Yes,Yes,15/12/2017,Twice,3019,Private Vehicle,Yes,4,Yes,No,,,,Ate out,Sit down,5,Yes,,100,50,,BirdLife Australia,>10 times a year,Yes,No,47,Male,Single,30,Yes,Yes,Yes,Yes,Yes,6,High School,Employed - full time,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,20,Yes
Yes,Yes,Yes,27/12/2017,Once,2540,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2305,Ate out,Sit down,1,No,60,50,120,,"BirdLife Australia, Local birding club",1-3 times,No,No,68,Female,Single,,Yes,Yes,Yes,No,No,1,Postgraduate,Retired,Australian Twitchers Facebook page,12,Expert birder (can identify >300 Australian bird species without a field guide),No,No,8,Yes
Yes,Yes,Yes,25/12/2017,Once,2111,Private Vehicle,No,,No,Yes,1,Camping,2428,Both: made own meals and ate out.,Sit down,2,Yes,100,75,100,,"BirdLife Australia, Local birding club",3-7 times,Yes,No,38,Male,Married,50,Yes,Yes,No,No,No,2,Postgraduate,Employed - full time,Australian Twitchers Facebook page,15,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,No
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,20/12/2017,Once,2830,Private Vehicle,No,,Yes,Yes,2,Hotel/Motel,2430,Ate out,Fast food,2,Yes,140,60,190,,BirdLife Australia,1-3 times,Yes,No,56,Male,Single,48,Yes,Yes,Yes,Yes,Yes,3,Postgraduate,Employed - full time,"Australian Twitchers Facebook page, Birding Aus Listservs",45,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,No
Yes,Yes,Yes,17/12/2017,Once,4122,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2430,Ate out,Fast food,1,Yes,120,20,87,,"BirdLife Australia, Local birding club",3-7 times,No,No,70,Male,Married,,Yes,Yes,Yes,Yes,Yes,1,Postgraduate,Retired,Australian Twitchers Facebook page,11,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,No
Yes,Yes,Yes,12/12/2017,Twice,2444,Private Vehicle,Yes,4,Yes,No,,,,Both: made own meals and ate out.,Sit down,1,Yes,,30,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,72,Female,Married,,Yes,Yes,No,No,No,8,University,Retired,Other,15,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,20,No
Yes,Yes,Yes,20/12/2017,Once,3134,"Rental Vehicle, Plane",Yes,4,Yes,No,,,,Ate out,Sit down,1,Yes,100,50,0,180,BirdLife Australia,3-7 times,Yes,Yes,25,Male,Married,100,Yes,Yes,Yes,Yes,Yes,4,University,Self-employed,Australian Twitchers Facebook page,4,Expert birder (can identify >300 Australian bird species without a field guide),No,No,11,No
Yes,Yes,Yes,2/01/2018,Once,2422,Private Vehicle,Yes,3,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,5,9,,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,68,Female,Married,,Yes,No,No,No,No,2,Postgraduate,Retired,Other,5,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,11,Yes
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,4/01/2018,Once,3450,Private Vehicle,No,,No,Yes,1,Camping,2312,Made own meals,,,Yes,50,100,0,-,BirdLife Australia,1-3 times,Yes,No,39,Male,Married,50,Yes,No,No,No,No,1.5,Postgraduate,Self-employed,"Australian Twitchers Facebook page, Other",18,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,1,No
Yes,Yes,Yes,19/01/2018,Once,5045,"Rental Vehicle, Plane",Yes,3,Yes,Yes,3,Holiday flat/unit,2430,Both: made own meals and ate out.,Sit down,1,Yes,116.47,150,510,1032.72,BirdLife Australia,1-3 times,Yes,No,74,Male,Married,1,,,No,No,No,1,Postgraduate,Retired,Australian Twitchers Facebook page,50,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,20/12/2017,Twice,3448,Private Vehicle,Yes,3,Yes,Yes,1,Hotel/Motel,2430,Both: made own meals and ate out.,Sit down,1,Yes,500,30,150,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,70,Male,Married,1,Yes,Yes,Yes,Yes,Yes,5,Other,Retired,Australian Twitchers Facebook page,45,Expert birder (can identify >300 Australian bird species without a field guide),No,No,0,Yes
Yes,Yes,Yes,4/01/2018,Once,3166,Private Vehicle,No,,Yes,Yes,3,"Friends/relatives home, Camping",2009,Ate out,Fast food,10,Yes,350,120,,,I don't belong to any type of bird-related organization,1-3 times,Yes,No,53,Male,Married,65,Yes,No,No,No,No,3,University,Employed - full time,Australian Twitchers Facebook page,4,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,8,Yes
Yes,Yes,Yes,16/12/2017,Once,5161,"Rental Vehicle, Plane",No,,Yes,Yes,2,Hotel/Motel,2430,Ate out,Sit down,2,Yes,100,150,235,1450,BirdLife Australia,3-7 times,Yes,No,45,Male,Married,50,Yes,Yes,Yes,Yes,Yes,10,University,Employed - full time,Australian Twitchers Facebook page,30,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,45,Yes
Yes,Yes,Yes,6/01/2018,Once,4169,Private Vehicle,Yes,3,Yes,Yes,1,Camping,,Both: made own meals and ate out.,Fast food,1,No,,30,,,"BirdLife Australia, Professional ornithological Society",Never,Yes,No,48,Male,Married,,Yes,Yes,Yes,Yes,Yes,11,Postgraduate,Employed - full time,Australian Twitchers Facebook page,42,Expert birder (can identify >300 Australian bird species without a field guide),Yes,,10,Yes
Yes,Yes,Yes,6/01/2018,Once,4035,Private Vehicle,Yes,3,Yes,No,,,,Made own meals,,,No,0,0,0,0,I don't belong to any type of bird-related organization,1-3 times,Yes,No,49,Male,Married,100,Yes,Yes,No,No,No,12,Postgraduate,Employed - full time,Australian Twitchers Facebook page,45,Expert birder (can identify >300 Australian bird species without a field guide),No,No,10,Yes
Yes,Yes,Yes,11/12/2017,Once,4213,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,100,,,,,,Yes,No,63,Female,,35,Yes,Yes,Yes,,,1,High School,Employed - part time,"Australian Twitchers Facebook page, Text/phone call",2,Amateur birder (can identify <100 Australian birds without using a field guide),No,No,20,Yes
Yes,Yes,Yes,17/01/2018,Once,4500,Private Vehicle,No,,Yes,Yes,1,Hotel/Motel,2450,Ate out,Sit down,4,Yes,150,100,150,0,"BirdLife Australia, Local birding club, Professional ornithological Society",1-3 times,Yes,No,50,Male,Single,1,Yes,Yes,No,No,No,1,High School,Unemployed,Birding Aus Listservs,15,Amateur birder (can identify <100 Australian birds without using a field guide),No,No,5,No
Yes,Yes,Yes,14/01/2018,Twice,4055,Private Vehicle,No,,Yes,Yes,2,Hotel/Motel,2450,Ate out,Fast food,2,Yes,150,100,260,,"BirdLife Australia, Professional ornithological Society",1-3 times,Yes,No,43,Female,,50,Yes,Yes,Yes,Yes,Yes,2.6,Postgraduate,Employed - full time,Australian Twitchers Facebook page,10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,3,No
Yes,Yes,Yes,28/12/2017,Once,4380,Private Vehicle,Yes,2,Yes,Yes,1,Camping,2453,Both: made own meals and ate out.,Fast food,2,Yes,250,100,15,,"BirdLife Australia, Local birding club",1-3 times,Yes,Yes,46,Male,Married,25,Yes,Yes,No,No,No,2,High School,Employed - full time,"Australian Twitchers Facebook page, Other Facebook page, Birding Aus Listservs",38,Expert birder (can identify >300 Australian bird species without a field guide),No,No,2,Yes
Yes,Yes,Yes,22/12/2017,Twice,2640,Private Vehicle,Yes,3,Yes,No,,,,Ate out,Fast food,4,No,90,90,,,BirdLife Australia,3-7 times,No,No,72,Male,Married,,Yes,Yes,Yes,Yes,Yes,4,Postgraduate,Retired,Australian Twitchers Facebook page,55,Expert birder (can identify >300 Australian bird species without a field guide),No,No,2,No
Yes,Yes,Yes,11/12/2017,Once,2066,Private Vehicle,Yes,4,Yes,No,,,,Ate out,Fast food,1,Yes,,10,,,BirdLife Australia,1-3 times,Yes,Yes,20,Male,Single,,Yes,Yes,No,No,No,4,University,Student,"Australian Twitchers Facebook page, Text/phone call",10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,7,Yes
